"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Australia","2022","Total","Female","Greater Melbourne","Urban agglomeration","Estimate - de jure","Provisional figure","2024","2545348","1,2"
"Australia","2022","Total","Female","Greater Perth","Urban agglomeration","Estimate - de jure","Provisional figure","2024","1117238","1,2"
"Australia","2022","Total","Female","Greater Sydney","Urban agglomeration","Estimate - de jure","Provisional figure","2024","2666118","1,2"
"Australia","2022","Total","Female","Hobart","City proper","Estimate - de jure","Provisional figure","2024","28563","1,2"
"Australia","2022","Total","Female","Hobart","Urban agglomeration","Estimate - de jure","Provisional figure","2024","118402","1,2"
"Australia","2022","Total","Female","Melbourne","City proper","Estimate - de jure","Provisional figure","2024","80313","1,2"
"Australia","2022","Total","Female","Melbourne","Urban agglomeration","Estimate - de jure","Provisional figure","2024","2493912","1,2"
"Australia","2022","Total","Female","Newcastle","City proper","Estimate - de jure","Provisional figure","2024","86339","1,2"
"Australia","2022","Total","Female","Newcastle","Urban agglomeration","Estimate - de jure","Provisional figure","2024","91714","1,2"
"Australia","2022","Total","Female","Newcastle-Maitland","City proper","Estimate - de jure","Provisional figure","2024","133985","1,2"
"Australia","2022","Total","Female","Newcastle-Maitland","Urban agglomeration","Estimate - de jure","Provisional figure","2024","261438","1,2"
"Australia","2022","Total","Female","Perth","City proper","Estimate - de jure","Provisional figure","2024","14204","1,2"
"Australia","2022","Total","Female","Perth","Urban agglomeration","Estimate - de jure","Provisional figure","2024","1108975","1,2"
"Australia","2022","Total","Female","Sunshine Coast","City proper","Estimate - de jure","Provisional figure","2024","183837","1,2"
"Australia","2022","Total","Female","Sunshine Coast","Urban agglomeration","Estimate - de jure","Provisional figure","2024","204924","1,2"
"Australia","2022","Total","Female","Sydney","City proper","Estimate - de jure","Provisional figure","2024","103317","1,2"
"Australia","2022","Total","Female","Sydney","Urban agglomeration","Estimate - de jure","Provisional figure","2024","2459124","1,2"
"Australia","2022","Total","Female","Toowoomba","City proper","Estimate - de jure","Provisional figure","2024","91568","1,2"
"Australia","2022","Total","Female","Townsville","City proper","Estimate - de jure","Provisional figure","2024","98711","1,2"
"Australia","2022","Total","Female","Wollongong","City proper","Estimate - de jure","Provisional figure","2024","108774","1,2"
"Australia","2021","Total","Both Sexes","Adelaide","City proper","Estimate - de jure","Final figure, complete","2023","25551","2"
"Australia","2021","Total","Both Sexes","Adelaide","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","1245011","3,4,5"
"Australia","2021","Total","Both Sexes","Adelaide","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","1383209","2"
"Australia","2021","Total","Both Sexes","Ballarat","City proper","Estimate - de jure","Final figure, complete","2023","113482","2"
"Australia","2021","Total","Both Sexes","Ballarat","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","105348","3,4,5"
"Australia","2021","Total","Both Sexes","Bendigo","City proper","Estimate - de jure","Final figure, complete","2023","121221","2"
"Australia","2021","Total","Both Sexes","Bendigo","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","100649","3,4,5"
"Australia","2021","Total","Both Sexes","Brisbane","City proper","Estimate - de jure","Final figure, complete","2023","1264024","2"
"Australia","2021","Total","Both Sexes","Brisbane","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","2287896","3,4,5"
"Australia","2021","Total","Both Sexes","Brisbane","Urban agglomeration","Estimate - de jure","Final figure, complete","2023","2488781","2"
"Australia","2021","Total","Both Sexes","Cairns","City proper","Estimate - de jure","Final figure, complete","2023","169312","2"
"Australia","2021","Total","Both Sexes","Cairns","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2023","153181","3,4,5"
"Australia","2021","Total","Both Sexes","CANBERRA","City proper","Estimate - de jure","Final figure, complete","2023","453558","2"
